Module,Dependency Depth
__main__,25
httpie.manager.__main__,24
httpie.manager.core,23
httpie.manager.tasks,22
httpie.internal.daemon_runner,21
httpie.manager.tasks.check_updates,21
httpie.internal.update_warnings,20
httpie.internal.daemons,19
httpie.__main__,18
httpie.core,17
httpie.manager.tasks.export_args,17
httpie.manager.tasks.plugins,17
httpie.manager.tasks.sessions,17
httpie.cli.definition,16
httpie.manager.cli,16
httpie.output.ui.rich_help,16
httpie.cli.options,15
httpie.cli.argparser,14
httpie.output.writer,14
httpie.cli.requestitems,13
httpie.downloads,13
httpie.output.models,13
httpie.cli.argtypes,12
httpie.client,12
httpie.legacy.v3_1_0_session_cookie_format,12
httpie.legacy.v3_2_0_session_header_format,12
httpie.output.streams,12
httpie.output.processing,11
httpie.sessions,11
httpie.plugins.registry,10
httpie.output.formatters.colors,9
httpie.output.ui.man_pages,9
httpie.output.ui.rich_progress,9
httpie.uploads,9
httpie.context,8
httpie.output.formatters.json,8
httpie.output.lexers.metadata,8
httpie.output.ui.rich_utils,8
httpie.ssl_,8
rich.progress,8
httpie.adapters,7
httpie.models,7
httpie.output.ui.rich_palette,7
httpie.output.utils,7
httpie.plugins.manager,7
rich.table,7
httpie.plugins.builtin,6
httpie.utils,6
requests.adapters,6
rich.highlighter,6
rich.padding,6
rich.theme,6
requests.auth,5
rich,5
rich.console,5
rich.style,5
rich.text,5
httpie.cli.nested_json,4
httpie.output.lexers.json,4
pygments.formatters.terminal256,4
pygments.lexers.text,4
requests,4
requests.utils,4
httpie.cli.nested_json.interpret,3
httpie.output.lexers.http,3
pygments.formatters,3
pygments.formatters.terminal,3
pygments.lexers,3
pygments.lexers.data,3
pygments.lexers.special,3
pygments.style,3
pygments.styles,3
httpie.cli.nested_json.parse,2
httpie.config,2
httpie.manager.compat,2
httpie.output.formatters.headers,2
httpie.output.formatters.xml,2
pygments,2
pygments.lexer,2
urllib3,2
httpie.cli.nested_json.errors,1
httpie.compat,1
httpie.encoding,1
httpie.plugins,1
urllib3.util,1
charset_normalizer,0
charset_normalizer.constant,0
httpie,0
httpie.cli,0
httpie.cli.constants,0
httpie.cli.dicts,0
httpie.cli.exceptions,0
httpie.cli.nested_json.tokens,0
httpie.cli.utils,0
httpie.cookies,0
httpie.internal,0
httpie.internal.__build_channel__,0
httpie.legacy,0
httpie.manager,0
httpie.output,0
httpie.output.formatters,0
httpie.output.lexers,0
httpie.output.lexers.common,0
httpie.output.ui,0
httpie.output.ui.palette,0
httpie.plugins.base,0
httpie.status,0
pygments.token,0
pygments.util,0
requests.__version__,0
requests.cookies,0
rich.filesize,0
urllib3.util.ssl_,0
